alcaldia,poblacion,p_nacida_otro_estado,P_vive_otro_estado,p_habla_lengua_indigena,p_afromexicana,p_adulta_soltera,p_catolica
AZCAPOTZALCO,432205,79365,20545,3208,8864,147260,335663
COYOACAN,614447,110671,20232,7728,11120,214160,463550
CUAJIMALPA DE MORELOS,217686,32842,7892,2046,3053,67268,174811
GUSTAVO A. MADERO,1173351,217362,39009,14196,21697,385423,901136
IZTACALCO,404695,67280,15108,4412,6941,134768,307375
IZTAPALAPA,1835486,358708,42706,28716,33313,576503,1384540
LA MAGDALENA CONTRERAS,247622,36380,4421,2890,5459,75481,199259
MILPA ALTA,152685,22536,2555,4891,2231,41940,117841
ALVARO OBREGON,759137,123681,20301,8492,16042,245501,608016
TLAHUAC,392313,67284,8946,4862,7289,116646,297513
TLALPAN,699928,136812,21648,11884,12245,221177,531983
XOCHIMILCO,442178,75178,8103,10662,9830,132266,343974
BENITO JUAREZ,434153,88103,26615,3540,12325,161564,305323
CUAUHTEMOC,545884,110598,28254,9062,14780,204264,378996
MIGUEL HIDALGO,414470,81931,27251,3593,11262,144097,300662
VENUSTIANO CARRANZA,443704,70332,15100,4971,10463,149211,337374