entidad,Clave_Ent,poblacion_2022,edad_escolaridad,pop_pobreza,tot_hogares_no familiares,poblacion_servicio_salud
Aguascalientes,1,"1,425,607",10.35,396.5,"50,658","1,161,139"
Baja California,2,"3,769,020",10.2,851.7,"215,758","2,905,265"
Baja California Sur,3,"798,447",10.34,223.4,"45,235","664,122"
Campeche,4,"928,363",9.63,472.4,"34,840","719,677"
Coahuila de Zaragoza,5,"3,146,771",10.43,812.1,"124,370","2,540,708"
Colima,6,"731,391",10.05,196,"40,644","605,947"
Chiapas,7,"5,543,828",7.78,"4,218.00","129,520","3,698,663"
Chihuahua,8,"3,741,869",10,952.5,"194,241","3,156,294"
Ciudad de México,9,"9,209,944",11.48,"3,009.40","526,837","6,689,012"
Durango,10,"1,832,650",9.75,715.5,"61,213","1,366,665"
Guanajuato,11,"6,166,934",9.04,"2,649.60","182,849","4,874,661"
Guerrero,12,"3,540,685",8.37,"2,363.20","126,406","2,632,004"
Hidalgo,13,"3,082,841",9.37,"1,570.60","107,698","2,149,373"
Jalisco,14,"8,348,151",9.9,"2,633.40","353,964","5,835,710"
México,15,"16,992,418",10.08,"8,342.50","514,351","11,267,677"
Michoacán de Ocampo,16,"4,748,846",8.6,"2,133.70","165,127","2,954,556"
Morelos,17,"1,971,520",9.84,"1,006.70","80,872","1,416,884"
Nayarit,18,"1,235,456",9.73,376.6,"57,163","960,563"
Nuevo León,19,"5,784,442",10.74,"1,425.00","235,830","4,681,465"
Oaxaca,20,"4,132,148",8.12,"2,569.80","147,282","2,904,703"
Puebla,21,"6,583,278",9.16,"4,136.60","208,280","4,650,982"
Querétaro,22,"2,368,467",10.48,750.4,"115,104","1,873,160"
Quintana Roo,23,"1,857,985",10.24,892.9,"118,326","1,365,328"
San Luis Potosí,24,"2,822,255",9.61,"1,214.00","101,078","2,327,452"
Sinaloa,25,"3,026,943",10.22,853.9,"115,796","2,447,515"
Sonora,26,"2,944,840",10.4,885,"142,364","2,391,479"
Tabasco,27,"2,402,598",9.69,"1,316.10","82,492","1,645,089"
Tamaulipas,28,"3,527,735",10.09,"1,233.90","176,025","2,803,407"
Tlaxcala,29,"1,342,977",9.83,800.4,"32,281","964,599"
Veracruz de Ignacio de la Llave,30,"8,062,579",8.75,"4,749.60","352,512","5,825,533"
Yucatán,31,"2,320,898",9.59,"1,156.90","92,997","1,810,121"
Zacatecas,32,"1,622,138",9.25,745.7,"55,004","1,293,059"